Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
elimination/toNull/machines,3.421538808789278e-2,3.367269494782277e-2,3.509498663394257e-2,1.4302036834484633e-3,9.352024620202823e-4,2.304150648945864e-3
elimination/toNull/pipes,4.853081203919592e-2,4.7911922523580584e-2,4.943354761232517e-2,1.4748821095500045e-3,1.1135979794173671e-3,1.863128632349325e-3
elimination/toNull/conduit,1.2005542878964505e-2,1.188582923928508e-2,1.215394770713015e-2,3.748194108888356e-4,2.661334238441069e-4,5.57516031517039e-4
elimination/toList/machines,0.226607995157483,0.2239925077884354,0.23234667278571428,5.4415461313239094e-3,1.5454941640183828e-3,8.143284814999341e-3
elimination/toList/pipes,0.10374789504972222,0.10218004580722222,0.10697209066333332,3.821013282180463e-3,1.6169980703731337e-3,6.098156660189797e-3
elimination/toList/conduit,0.11009262610392417,0.1049206508787037,0.11767400275220459,1.028348384730802e-2,3.448806383262638e-3,1.2955250620463722e-2
elimination/fold/machines,3.2352275658414094e-2,3.183030271270107e-2,3.2841039583453e-2,1.0973309173315142e-3,8.642957536615135e-4,1.4540147530100061e-3
elimination/fold/pipes,1.5646830836906676e-2,1.5416993250782772e-2,1.591236899236917e-2,6.740755631817645e-4,5.198974198466587e-4,9.6279760029031e-4
elimination/fold/conduit,1.6968999496831814e-2,1.669783958005405e-2,1.7536188416260978e-2,9.261543088886193e-4,5.498887507455546e-4,1.5970210759842745e-3
elimination/last/machines,2.8623480173332078e-2,2.8161788011949455e-2,2.9253874877989555e-2,1.1439816707970753e-3,8.108906456210926e-4,1.540477161789767e-3
elimination/last/pipes,2.2723113276689934e-2,2.2244452784152314e-2,2.3536588415685126e-2,1.482739049114295e-3,9.093425036296461e-4,2.2776869289124445e-3
elimination/last/conduit,1.4524709670770668e-2,1.4290650084613811e-2,1.4886063002737215e-2,7.533006446315996e-4,5.879872002540419e-4,1.0109658960107647e-3
transformation/scan/machines,6.39372079496544e-2,6.32006456899752e-2,6.491239486244013e-2,1.673695418173012e-3,1.1413114020248482e-3,2.4266532306086324e-3
transformation/scan/pipes,4.9910553787320615e-2,4.932904083577098e-2,5.077042777150429e-2,1.3882714967263564e-3,7.610831422162797e-4,1.9485352541071738e-3
transformation/scan/conduit,4.0240232065649625e-2,3.95787215386995e-2,4.104536681059218e-2,1.5103018988612456e-3,1.0652167595847422e-3,2.1121932168242656e-3
transformation/map/machines,6.0777947016861775e-2,6.0084273011538465e-2,6.144962666048951e-2,1.3291484247902672e-3,1.04721150068342e-3,1.701272757900871e-3
transformation/map/pipes,4.723385253979409e-2,4.669774648817016e-2,4.799311399641026e-2,1.2944480676417487e-3,9.47905967206174e-4,2.0273470634557876e-3
transformation/map/conduit,2.9659052313105196e-2,2.9100831334392414e-2,3.0375778636536937e-2,1.3792227010762939e-3,1.058452063326927e-3,1.8203849984611267e-3
transformation/mapM/machines,6.1016851788324285e-2,6.0441777682883786e-2,6.183190280815723e-2,1.280090401129814e-3,8.470094567838976e-4,1.835721471823659e-3
transformation/mapM/pipes,0.21355837822142856,0.21099028851428572,0.2158100397142857,3.454898187697281e-3,2.627797565239163e-3,4.2387377003533806e-3
transformation/mapM/conduit,0.13055797672694003,0.12851543198320106,0.13278019798148147,3.495901009062215e-3,2.5686240326903403e-3,4.684996970292078e-3
transformation/concat/machines,0.21788513938741497,0.21674920764081634,0.21898336345,1.6604234933636174e-3,1.0995725666786032e-3,2.386074248516419e-3
transformation/concat/pipes,0.20106725922142857,0.19840562710714285,0.2030379589047619,3.3909105622145536e-3,2.176450420212252e-3,4.547754371121578e-3
transformation/concat/conduit,0.12606777980119047,0.12281657343174605,0.12788108595171957,3.949830751839922e-3,1.5137317053731305e-3,5.2510800369578465e-3
filtering/filter-even/machines,5.490983594549063e-2,5.372235757590188e-2,5.63625146498557e-2,2.5838634293614596e-3,1.9055114047154358e-3,3.6264600992398127e-3
filtering/filter-even/pipes,8.092195766561065e-2,7.895151417309458e-2,8.273785243319559e-2,3.468121057857171e-3,2.4662865130658652e-3,5.253595324989922e-3
filtering/filter-even/conduit,3.204994263238861e-2,3.158553242652505e-2,3.254612925881032e-2,1.074661671575641e-3,8.230799646985874e-4,1.456142404023373e-3
filtering/filter-all-out/machines,2.948385684005959e-2,2.9111691242143564e-2,2.996725855217915e-2,9.655089929582051e-4,6.427849412735973e-4,1.5598386407841304e-3
filtering/filter-all-out/pipes,3.0692299545606008e-2,3.03626690728072e-2,3.1074409710422603e-2,7.722710379360418e-4,5.467760651173361e-4,1.256809082726299e-3
filtering/filter-all-out/conduit,2.0398586677149732e-2,2.0200009031390184e-2,2.0706817129477344e-2,6.249722003301217e-4,4.1954863696376223e-4,8.735921503532601e-4
filtering/filter-all-in/machines,6.2751099371521e-2,6.1796255253079184e-2,6.41174739289294e-2,2.158486783382082e-3,1.2479984992772087e-3,2.913895885940104e-3
filtering/filter-all-in/pipes,0.12344192393465608,0.12162088932539684,0.1249174369457672,2.72113367665102e-3,2.06152338876983e-3,3.7229551349332642e-3
filtering/filter-all-in/conduit,3.3842930615384084e-2,3.2078445507415995e-2,3.6645161896607076e-2,4.748927843580432e-3,3.0447772106026224e-3,6.089720160762457e-3
filtering/take-all/machines,7.851845804174604e-2,7.731304734174603e-2,8.063305421833333e-2,2.717604144549103e-3,1.3278846544177115e-3,4.808539668393025e-3
filtering/take-all/pipes,4.9398550417168084e-2,4.9025543181445475e-2,4.986303097681869e-2,8.071855686796196e-4,5.550599214638592e-4,1.1312845612130884e-3
filtering/take-all/conduit,3.0092337675404597e-2,2.97527620184127e-2,3.0564320533153513e-2,8.385831978279103e-4,5.909206219667599e-4,1.1975939965380613e-3
filtering/takeWhile-true/machines,6.469200325617784e-2,6.397435364380412e-2,6.57789052718254e-2,1.574497367390793e-3,1.0828782024316734e-3,2.2594317937514197e-3
filtering/takeWhile-true/pipes,5.0646014822402996e-2,4.9804970834946796e-2,5.158316191239514e-2,1.8022217961826024e-3,1.2978380186952508e-3,2.6173092901873203e-3
filtering/takeWhile-true/conduit,3.363365635590613e-2,3.3319930980122654e-2,3.393610579861472e-2,6.179261437091e-4,4.771556994088659e-4,8.299884869885859e-4
filtering/drop-all/machines,2.8815429751107964e-2,2.8322936245314314e-2,2.940154456521571e-2,1.087244382567974e-3,7.190948462542741e-4,1.6079542694550206e-3
filtering/drop-all/pipes,2.719300503798179e-2,2.6866703381588017e-2,2.7959175727170868e-2,1.088210002167411e-3,6.103442400286974e-4,1.830790542860499e-3
filtering/drop-all/conduit,2.3029740175194383e-2,2.269371109236058e-2,2.336364248707221e-2,7.349505531689484e-4,5.719362144150184e-4,9.84049621539704e-4
filtering/dropWhile-true/machines,3.1146706294523763e-2,3.066437058356782e-2,3.1969046335316616e-2,1.29610565966875e-3,8.448018641114884e-4,2.1607835880513063e-3
filtering/dropWhile-true/pipes,3.018620770143836e-2,2.9636505672757704e-2,3.0870698899223756e-2,1.4112607138769618e-3,1.0616908909671797e-3,1.8267712060375755e-3
filtering/dropWhile-true/conduit,2.5133887872464688e-2,2.4628478005674012e-2,2.624918558482143e-2,1.5183127868933141e-3,7.188036089127687e-4,2.6081515824389885e-3
zip/machines,0.31610311066944446,0.31295027735,0.3188405896111111,4.198202280759587e-3,2.962673687100023e-3,5.524945752622247e-3
zip/pipes,9.293229123432539e-2,9.17725607668254e-2,9.510257844111111e-2,2.638009148428094e-3,1.6466743439341148e-3,3.923788123275772e-3
zip/conduit,4.315163393880546e-2,4.254840133451567e-2,4.3946014859890116e-2,1.3666368940636296e-3,1.0572655899797304e-3,1.8086651871647252e-3
compose/mapM/machines,0.25823317983055555,0.2571420075888889,0.25924329397222223,1.3733342390836662e-3,8.880838830441499e-4,1.9287426371699652e-3
compose/mapM/pipes,0.3464930826,0.3436668237,0.3500251393,4.0621760814102915e-3,2.2169070849935614e-3,5.978067463414838e-3
compose/mapM/conduit,0.7090636791458333,0.7072011235625001,0.7101986485625,1.8869922779856882e-3,9.408113162033238e-4,2.6210995929378885e-3
compose/map-with-all-in-filter/machines,0.5351817305,0.5201681195,0.547954577,1.6621171375427422e-2,5.174823949062209e-3,2.2097866201582553e-2
compose/map-with-all-in-filter/pipes,0.3124977083638889,0.3090841034722222,0.3166032605333334,5.4494792136758705e-3,3.253883191889105e-3,7.6624403365683534e-3
compose/map-with-all-in-filter/conduit,0.23992209848367346,0.23565588384761904,0.24680095856530612,7.578288811019347e-3,4.804212982648548e-3,1.0511572960368675e-2
compose/all-in-filters/machines,0.2710228586055556,0.26480572621111115,0.27756384166666664,8.631062685430476e-3,5.594373620131003e-3,1.1940482355319627e-2
compose/all-in-filters/pipes,0.1941740380659864,0.1906844696190476,0.20142400495918364,7.16429409771818e-3,2.6969945705861984e-3,1.0815585223976925e-2
compose/all-in-filters/conduit,0.11546799122477955,0.11240181418421516,0.11830988444268077,4.8200032049986186e-3,3.479618080915856e-3,7.026015310957409e-3
compose/all-out-filters/machines,0.13397408463483246,0.12910040651878307,0.14284238383421516,1.0576259435818195e-2,7.50018847353101e-3,1.4416252107298093e-2
compose/all-out-filters/pipes,5.46909534420062e-2,5.423696260854145e-2,5.604798991878479e-2,1.3254023134122166e-3,5.40403460832996e-4,2.412403864177505e-3
compose/all-out-filters/conduit,2.9396480817762232e-2,2.8299907846407988e-2,3.1122826650189294e-2,2.983269049633853e-3,1.3844178793686976e-3,4.471584132548456e-3
